Loss:  tensor(0.8165, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.7168, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.6775, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.6008, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.5511, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.6248, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.5318, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.5336, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.5265, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.5339, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4514, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4484, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4640, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4830, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4128, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4492, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3915, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4339, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4150, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4359, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4177, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3955, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4028, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4211, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3945, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4122, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3882, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4202, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3982, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4027, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3906, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4023, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3825, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3894, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4124, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3702, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3878, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3762, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3857, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3797, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3892, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.3755, device='cuda:0', grad_fn=<MeanBackward0>)
Loss:  tensor(0.4159, device='cuda:0', grad_fn=<MeanBackward0>)
