reward: tensor(0.0560, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0404, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0297, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0383, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0414, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0490, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0488, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0299, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0365, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0245, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0627, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0325, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0391, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0328, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0514, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0516, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0436, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0278, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0393, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0438, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0332, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0407, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0491, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0362, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0464, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0308, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0589, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0321, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0417, device='cuda:0', grad_fn=<MeanBackward0>)
