reward: tensor(0.0586, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0376, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0457, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0426, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0370, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0445, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0445, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0398, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0409, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0396, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0335, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0385, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0444, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0490, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0222, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0563, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0393, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0213, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0584, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0327, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0531, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0498, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0523, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0458, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0516, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0398, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0404, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0598, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0640, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0363, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0466, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0473, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0377, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0461, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0341, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0371, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0344, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0540, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0460, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0340, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0390, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0537, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0069, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0412, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0380, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0391, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0172, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0442, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0532, device='cuda:0', grad_fn=<MeanBackward0>)
