reward: tensor(0.0958, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0963, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0829, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0970, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0901, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0828, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0940, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0855, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0752, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0875, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0961, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0943, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0950, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0953, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0940, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0901, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0932, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0860, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0963, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0865, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0876, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0775, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0859, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0884, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0938, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0951, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0818, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0808, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0942, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0889, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0902, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0908, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.1003, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0750, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0736, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0861, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0973, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0864, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0918, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0831, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0925, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0907, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0883, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0883, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0750, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0880, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0738, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0792, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0812, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0765, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0738, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0867, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0746, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0715, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0761, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0638, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0785, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0740, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0750, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0699, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0683, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0665, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0746, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0577, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0671, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0718, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0659, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0792, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0534, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0482, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0585, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0529, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0476, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0409, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0457, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0526, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0374, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0453, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0277, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0371, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0297, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0166, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0117, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0112, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0097, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0167, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0093, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0162, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0217, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0170, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0182, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0069, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0043, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0080, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0005, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0058, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0033, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0075, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0046, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(-0.0006, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0111, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0176, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0143, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0234, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0220, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0206, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0133, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0157, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0021, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0052, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0014, device='cuda:0', grad_fn=<MeanBackward0>)
reward: tensor(0.0084, device='cuda:0', grad_fn=<MeanBackward0>)
